vpv1,ipv1,pv1_watt,vpv2,ipv2,pv2_watt,pac_total,freq,vac1,iac1,energia_hoy,energia_total,temp_inversor,Energìa PV1,Energìa PV2,codigo_error,irradiancia_incidente,temp1,temp2,timestamp
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1245.9,0,0.0,0.0,0,-38.845008416418494,21.812,85.0,2025-09-30 05:30:55
0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1245.9,0,0.0,0.0,0,-38.845008416418494,21.812,85.0,2025-09-30 05:31:58
,,0.0,0,0,0.0,0.0,0,0,0,0.0,1245.9,0,0.0,0.0,0,0.0,21.812,85.0,2025-09-30 05:33:02
148.6,0,0.0,148.4,0,0.0,0.0,0,0,0,0.0,1245.9,21.9,0.0,0.0,302,0.0,21.812,85.0,2025-09-30 05:34:05
151.7,0,0.0,151.3,0,0.0,0.0,0,0,0,0.0,1245.9,22,0.0,0.0,302,0.0,21.812,85.0,2025-09-30 05:35:07
153.5,0,0.0,153.4,0,0.0,0.0,0,0,0,0.0,1245.9,22,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:36:10
155.4,0,0.0,155.1,0,0.0,0.0,0,0,0,0.0,1245.9,22,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:37:12
156.6,0,0.0,156.4,0,0.0,0.0,0,0,0,0.0,1245.9,22.1,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:38:15
157.9,0,0.0,157.6,0,0.0,0.0,0,0,0,0.0,1245.9,22.1,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:39:17
159,0,0.0,158.7,0,0.0,0.0,0,0,0,0.0,1245.9,22.1,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:40:19
160.2,0,0.0,159.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.1,0.0,0.0,302,0.0,21.875,85.0,2025-09-30 05:41:22
161.1,0,0.0,160.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.2,0.0,0.0,302,0.0,21.937,85.0,2025-09-30 05:42:24
162.1,0,0.0,161.8,0,0.0,0.0,0,0,0,0.0,1245.9,22.2,0.0,0.0,302,0.0,21.937,85.0,2025-09-30 05:43:27
162.9,0,0.0,162.6,0,0.0,0.0,0,0,0,0.0,1245.9,22.2,0.0,0.0,302,0.0,21.937,85.0,2025-09-30 05:44:29
163.7,0,0.0,163.1,0,0.0,0.0,0,0,0,0.0,1245.9,22.2,0.0,0.0,302,0.0,21.937,85.0,2025-09-30 05:45:32
164.6,0,0.0,163.8,0,0.0,0.0,0,0,0,0.0,1245.9,22.3,0.0,0.0,302,0.0,22.0,85.0,2025-09-30 05:46:34
165.3,0,0.0,164.6,0,0.0,0.0,0,0,0,0.0,1245.9,22.3,0.0,0.0,302,0.0,22.0,85.0,2025-09-30 05:47:36
165.7,0,0.0,165.1,0,0.0,0.0,0,0,0,0.0,1245.9,22.3,0.0,0.0,302,0.0,22.062,85.0,2025-09-30 05:48:39
165.9,0,0.0,165.5,0,0.0,0.0,0,0,0,0.0,1245.9,22.4,0.0,0.0,302,0.0,22.062,85.0,2025-09-30 05:49:41
166.8,0,0.0,166.1,0,0.0,0.0,0,0,0,0.0,1245.9,22.5,0.0,0.0,302,0.0,22.062,85.0,2025-09-30 05:50:44
168,0,0.0,167,0,0.0,0.0,0,0,0,0.0,1245.9,22.5,0.0,0.0,302,0.0,22.125,85.0,2025-09-30 05:51:46
168.8,0,0.0,167.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.5,0.0,0.0,302,0.0,22.187,85.0,2025-09-30 05:52:49
169.7,0,0.0,168.7,0,0.0,0.0,0,0,0,0.0,1245.9,22.5,0.0,0.0,302,0.0,22.187,85.0,2025-09-30 05:53:51
170.2,0,0.0,169,0,0.0,0.0,0,0,0,0.0,1245.9,22.5,0.0,0.0,302,0.0,22.25,85.0,2025-09-30 05:54:54
170.5,0,0.0,169.1,0,0.0,0.0,0,0,0,0.0,1245.9,22.6,0.0,0.0,302,0.0,22.312,85.0,2025-09-30 05:55:56
170.4,0,0.0,168.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.6,0.0,0.0,302,0.0,22.312,85.0,2025-09-30 05:56:58
170,0,0.0,168.6,0,0.0,0.0,0,0,0,0.0,1245.9,22.6,0.0,0.0,302,0.0,22.375,85.0,2025-09-30 05:58:01
169.9,0,0.0,168.6,0,0.0,0.0,0,0,0,0.0,1245.9,22.7,0.0,0.0,302,0.0,22.375,85.0,2025-09-30 05:59:03
170.5,0,0.0,169,0,0.0,0.0,0,0,0,0.0,1245.9,22.7,0.0,0.0,302,0.0,22.437,85.0,2025-09-30 06:00:06
171.7,0,0.0,169.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.7,0.0,0.0,302,38.845008416418494,22.437,85.0,2025-09-30 06:01:08
172.9,0,0.0,171,0,0.0,0.0,0,0,0,0.0,1245.9,22.7,0.0,0.0,302,38.845008416418494,22.437,85.0,2025-09-30 06:02:11
174,0,0.0,172,0,0.0,0.0,0,0,0,0.0,1245.9,22.7,0.0,0.0,302,38.845008416418494,22.5,85.0,2025-09-30 06:03:13
174.8,0,0.0,172.8,0,0.0,0.0,0,0,0,0.0,1245.9,22.8,0.0,0.0,302,38.845008416418494,22.625,85.0,2025-09-30 06:04:16
175.4,0,0.0,173.5,0,0.0,0.0,0,0,0,0.0,1245.9,22.8,0.0,0.0,302,38.845008416418494,22.562,85.0,2025-09-30 06:05:18
175.6,0,0.0,173.8,0,0.0,0.0,0,0,0,0.0,1245.9,22.8,0.0,0.0,302,38.845008416418494,22.687,85.0,2025-09-30 06:06:20
175.8,0,0.0,173.9,0,0.0,0.0,0,0,0,0.0,1245.9,22.9,0.0,0.0,302,38.845008416418494,22.75,85.0,2025-09-30 06:07:23
175.9,0,0.0,174,0,0.0,0.0,0,0,0,0.0,1245.9,22.9,0.0,0.0,302,38.845008416418494,22.875,85.0,2025-09-30 06:08:25
176,0,0.0,174.3,0,0.0,0.0,0,0,0,0.0,1245.9,22.9,0.0,0.0,302,38.845008416418494,22.937,85.0,2025-09-30 06:09:28
176.1,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,22.9,0.0,0.0,302,77.69001683283699,23.0,85.0,2025-09-30 06:10:30
176.3,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,23,0.0,0.0,302,77.69001683283699,23.062,85.0,2025-09-30 06:11:33
176.4,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,23,0.0,0.0,302,77.69001683283699,23.125,85.0,2025-09-30 06:12:35
176.4,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,23.1,0.0,0.0,302,77.69001683283699,23.125,85.0,2025-09-30 06:13:38
176.1,0,0.0,174.2,0,0.0,0.0,0,0,0,0.0,1245.9,23.1,0.0,0.0,302,77.69001683283699,23.187,85.0,2025-09-30 06:14:40
175.5,0,0.0,173.6,0,0.0,0.0,0,0,0,0.0,1245.9,23.1,0.0,0.0,302,77.69001683283699,23.25,85.0,2025-09-30 06:15:42
175.2,0,0.0,173.1,0,0.0,0.0,0,0,0,0.0,1245.9,23.1,0.0,0.0,302,77.69001683283699,23.312,85.0,2025-09-30 06:16:45
174.6,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,23.1,0.0,0.0,302,77.69001683283699,23.312,85.0,2025-09-30 06:17:47
174.5,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,23.2,0.0,0.0,302,38.845008416418494,23.312,85.0,2025-09-30 06:18:50
174.8,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,23.2,0.0,0.0,302,38.845008416418494,23.312,85.0,2025-09-30 06:19:52
175.2,0,0.0,173.2,0,0.0,0.0,0,0,0,0.0,1245.9,23.2,0.0,0.0,302,38.845008416418494,23.187,85.0,2025-09-30 06:20:55
175.5,0,0.0,173.5,0,0.0,0.0,0,0,0,0.0,1245.9,23.3,0.0,0.0,302,38.845008416418494,23.187,85.0,2025-09-30 06:21:57
175.6,0,0.0,173.7,0,0.0,0.0,0,0,0,0.0,1245.9,23.3,0.0,0.0,302,77.69001683283699,23.187,85.0,2025-09-30 06:23:00
175.9,0,0.0,174.3,0,0.0,0.0,0,0,0,0.0,1245.9,23.3,0.0,0.0,302,77.69001683283699,23.187,85.0,2025-09-30 06:24:02
176.4,0,0.0,175.1,0,0.0,0.0,0,0,0,0.0,1245.9,23.4,0.0,0.0,302,77.69001683283699,23.25,85.0,2025-09-30 06:25:04
177,0,0.0,175.9,0,0.0,0.0,0,0,0,0.0,1245.9,23.4,0.0,0.0,302,77.69001683283699,23.125,85.0,2025-09-30 06:26:07
177.8,0,0.0,176.4,0,0.0,0.0,0,0,0,0.0,1245.9,23.4,0.0,0.0,302,77.69001683283699,23.062,85.0,2025-09-30 06:27:09
179.1,0,0.0,177.9,0,0.0,0.0,0,0,0,0.0,1245.9,23.5,0.0,0.0,302,116.53502524925548,23.062,85.0,2025-09-30 06:28:12
181.1,0,0.0,179.8,0,0.0,0.0,0,0,0,0.0,1245.9,23.5,0.0,0.0,302,116.53502524925548,23.062,85.0,2025-09-30 06:29:14
183.8,0,0.0,183.5,0,0.0,0.0,0,0,0,0.0,1245.9,23.5,0.0,0.0,302,155.38003366567398,23.25,85.0,2025-09-30 06:30:17
184.1,0,0.0,183.5,0,0.0,0.0,0,0,0,0.0,1245.9,23.6,0.0,0.0,302,194.22504208209244,23.5,85.0,2025-09-30 06:31:19
184.2,0,0.0,183.2,0,0.0,0.0,0,0,0,0.0,1245.9,23.7,0.0,0.0,302,194.22504208209244,23.687,85.0,2025-09-30 06:32:22
183.8,0,0.0,182.5,0,0.0,0.0,0,0,0,0.0,1245.9,23.7,0.0,0.0,302,194.22504208209244,23.875,85.0,2025-09-30 06:33:24
182.4,0,0.0,181,0,0.0,0.0,0,0,0,0.0,1245.9,23.7,0.0,0.0,302,155.38003366567398,24.0,85.0,2025-09-30 06:34:26
182,0,0.0,180.4,0,0.0,0.0,0,0,0,0.0,1245.9,23.8,0.0,0.0,302,155.38003366567398,24.062,85.0,2025-09-30 06:35:29
179.5,0,0.0,177.3,0,0.0,0.0,0,0,0,0.0,1245.9,23.9,0.0,0.0,302,116.53502524925548,24.125,85.0,2025-09-30 06:36:31
177.9,0,0.0,175,0,0.0,0.0,0,0,0,0.0,1245.9,24,0.0,0.0,302,116.53502524925548,24.187,85.0,2025-09-30 06:37:34
177.7,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,24,0.0,0.0,302,116.53502524925548,24.125,85.0,2025-09-30 06:38:36
177.8,0,0.0,174.6,0,0.0,0.0,0,0,0,0.0,1245.9,24.1,0.0,0.0,302,116.53502524925548,24.187,85.0,2025-09-30 06:39:39
176.7,0,0.0,173,0,0.0,0.0,0,0,0,0.0,1245.9,24.2,0.0,0.0,302,116.53502524925548,24.187,85.0,2025-09-30 06:40:41
176.8,0,0.0,173.3,0,0.0,0.0,0,0,0,0.0,1245.9,24.2,0.0,0.0,302,116.53502524925548,24.25,85.0,2025-09-30 06:41:44
175.6,0,0.0,172,0,0.0,0.0,0,0,0,0.0,1245.9,24.2,0.0,0.0,302,116.53502524925548,24.312,85.0,2025-09-30 06:42:46
175.8,0,0.0,172.1,0,0.0,0.0,0,0,0,0.0,1245.9,24.3,0.0,0.0,302,116.53502524925548,24.5,85.0,2025-09-30 06:43:48
175.8,0,0.0,172.2,0,0.0,0.0,0,0,0,0.0,1245.9,24.3,0.0,0.0,302,116.53502524925548,24.625,85.0,2025-09-30 06:44:51
175.6,0,0.0,172.3,0,0.0,0.0,0,0,0,0.0,1245.9,24.4,0.0,0.0,302,77.69001683283699,24.687,85.0,2025-09-30 06:45:53
175.6,0,0.0,172.5,0,0.0,0.0,0,0,0,0.0,1245.9,24.4,0.0,0.0,302,77.69001683283699,24.75,85.0,2025-09-30 06:46:56
176.1,0,0.0,173.1,0,0.0,0.0,0,0,0,0.0,1245.9,24.4,0.0,0.0,302,116.53502524925548,24.812,85.0,2025-09-30 06:47:58
176.4,0,0.0,173.4,0,0.0,0.0,0,0,0,0.0,1245.9,24.5,0.0,0.0,302,116.53502524925548,24.937,85.0,2025-09-30 06:49:01
176.2,0,0.0,173.3,0,0.0,0.0,0,0,0,0.0,1245.9,24.5,0.0,0.0,302,116.53502524925548,25.0,85.0,2025-09-30 06:50:03
175.7,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,24.6,0.0,0.0,302,77.69001683283699,25.062,85.0,2025-09-30 06:51:05
175,0,0.0,172.8,0,0.0,0.0,0,0,0,0.0,1245.9,24.6,0.0,0.0,302,77.69001683283699,25.062,85.0,2025-09-30 06:52:08
174.9,0,0.0,173,0,0.0,0.0,0,0,0,0.0,1245.9,24.6,0.0,0.0,302,77.69001683283699,25.0,85.0,2025-09-30 06:53:10
175.1,0,0.0,173.2,0,0.0,0.0,0,0,0,0.0,1245.9,24.7,0.0,0.0,302,77.69001683283699,24.937,85.0,2025-09-30 06:54:13
175.4,0,0.0,173.2,0,0.0,0.0,0,0,0,0.0,1245.9,24.7,0.0,0.0,302,77.69001683283699,24.937,85.0,2025-09-30 06:55:15
175.6,0,0.0,173.1,0,0.0,0.0,0,0,0,0.0,1245.9,24.7,0.0,0.0,302,77.69001683283699,25.0,85.0,2025-09-30 06:56:18
175.6,0,0.0,173,0,0.0,0.0,0,0,0,0.0,1245.9,24.7,0.0,0.0,302,77.69001683283699,25.0,85.0,2025-09-30 06:57:20
175.5,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,24.7,0.0,0.0,302,77.69001683283699,24.937,85.0,2025-09-30 06:58:23
175.4,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,24.8,0.0,0.0,302,77.69001683283699,25.062,85.0,2025-09-30 06:59:25
175.4,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,24.8,0.0,0.0,302,77.69001683283699,25.062,85.0,2025-09-30 07:00:27
175.5,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,116.53502524925548,25.0,85.0,2025-09-30 07:01:30
175.7,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,116.53502524925548,25.0,85.0,2025-09-30 07:02:32
175.6,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,116.53502524925548,25.062,85.0,2025-09-30 07:03:35
175.2,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,77.69001683283699,25.062,85.0,2025-09-30 07:04:37
174.5,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,77.69001683283699,25.187,85.0,2025-09-30 07:05:40
174.4,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,77.69001683283699,25.25,85.0,2025-09-30 07:06:42
174.6,0,0.0,172.8,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,77.69001683283699,25.312,85.0,2025-09-30 07:07:44
174.7,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,24.9,0.0,0.0,302,77.69001683283699,25.375,85.0,2025-09-30 07:08:47
174.7,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,25,0.0,0.0,302,77.69001683283699,25.312,85.0,2025-09-30 07:09:49
174.8,0,0.0,172.5,0,0.0,0.0,0,0,0,0.0,1245.9,25,0.0,0.0,302,77.69001683283699,25.25,85.0,2025-09-30 07:10:52
174.7,0,0.0,172.3,0,0.0,0.0,0,0,0,0.0,1245.9,25,0.0,0.0,302,77.69001683283699,25.25,85.0,2025-09-30 07:11:54
174.5,0,0.0,172.2,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,77.69001683283699,25.375,85.0,2025-09-30 07:12:57
174.3,0,0.0,172.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,77.69001683283699,25.437,85.0,2025-09-30 07:13:59
174.3,0,0.0,172.1,0,0.0,0.0,0,0,0,0.0,1245.9,25,0.0,0.0,302,77.69001683283699,25.375,85.0,2025-09-30 07:15:02
174.4,0,0.0,172.2,0,0.0,0.0,0,0,0,0.0,1245.9,25,0.0,0.0,302,77.69001683283699,25.375,85.0,2025-09-30 07:16:04
174.5,0,0.0,172.3,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,77.69001683283699,25.437,85.0,2025-09-30 07:17:06
174.7,0,0.0,172.4,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,77.69001683283699,25.375,85.0,2025-09-30 07:18:09
174.8,0,0.0,172.4,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,116.53502524925548,25.437,85.0,2025-09-30 07:19:11
174.8,0,0.0,172.5,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,77.69001683283699,25.5,85.0,2025-09-30 07:20:14
174.9,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.1,0.0,0.0,302,77.69001683283699,25.562,85.0,2025-09-30 07:21:16
175,0,0.0,172.7,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,77.69001683283699,25.562,85.0,2025-09-30 07:22:19
175.1,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,77.69001683283699,25.625,85.0,2025-09-30 07:23:21
175.1,0,0.0,173,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,116.53502524925548,25.625,85.0,2025-09-30 07:24:24
175.3,0,0.0,173.3,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,116.53502524925548,25.687,85.0,2025-09-30 07:25:26
175.5,0,0.0,173.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,116.53502524925548,25.687,85.0,2025-09-30 07:26:28
176,0,0.0,174.2,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,116.53502524925548,25.687,85.0,2025-09-30 07:27:31
176.5,0,0.0,174.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.2,0.0,0.0,302,116.53502524925548,25.687,85.0,2025-09-30 07:28:33
176.8,0,0.0,174.9,0,0.0,0.0,0,0,0,0.0,1245.9,25.3,0.0,0.0,302,116.53502524925548,25.812,85.0,2025-09-30 07:29:36
177,0,0.0,175.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.3,0.0,0.0,302,116.53502524925548,25.875,85.0,2025-09-30 07:30:38
177.4,0,0.0,175.4,0,0.0,0.0,0,0,0,0.0,1245.9,25.4,0.0,0.0,302,155.38003366567398,25.937,85.0,2025-09-30 07:31:41
177.6,0,0.0,175.5,0,0.0,0.0,0,0,0,0.0,1245.9,25.4,0.0,0.0,302,155.38003366567398,26.062,85.0,2025-09-30 07:32:43
177.5,0,0.0,175.4,0,0.0,0.0,0,0,0,0.0,1245.9,25.4,0.0,0.0,302,155.38003366567398,26.187,85.0,2025-09-30 07:33:46
177.2,0,0.0,175.2,0,0.0,0.0,0,0,0,0.0,1245.9,25.4,0.0,0.0,302,155.38003366567398,26.125,85.0,2025-09-30 07:34:48
176.7,0,0.0,175,0,0.0,0.0,0,0,0,0.0,1245.9,25.4,0.0,0.0,302,155.38003366567398,26.312,85.0,2025-09-30 07:35:50
176.4,0,0.0,174.7,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.375,85.0,2025-09-30 07:36:53
176.2,0,0.0,174.5,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.5,85.0,2025-09-30 07:37:55
176.1,0,0.0,174.4,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.625,85.0,2025-09-30 07:38:58
176.3,0,0.0,174.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.625,85.0,2025-09-30 07:40:00
176.6,0,0.0,175,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.75,85.0,2025-09-30 07:41:03
177.3,0,0.0,175.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,155.38003366567398,26.812,85.0,2025-09-30 07:42:05
178.2,0,0.0,176.5,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,194.22504208209244,26.875,85.0,2025-09-30 07:43:07
179.1,0,0.0,177.3,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,194.22504208209244,27.062,85.0,2025-09-30 07:44:10
181,0,0.0,178.9,0,0.0,0.0,0,0,0,0.0,1245.9,25.5,0.0,0.0,302,271.91505891492943,27.187,85.0,2025-09-30 07:45:12
180.4,0,0.0,178.6,0,0.0,0.0,0,0,0,0.0,1245.9,25.6,0.0,0.0,302,271.91505891492943,27.375,85.0,2025-09-30 07:46:15
180.2,0,0.0,178.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.6,0.0,0.0,302,271.91505891492943,27.5,85.0,2025-09-30 07:47:17
178.9,0,0.0,177.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.7,0.0,0.0,302,233.07005049851097,27.687,85.0,2025-09-30 07:48:20
178,0,0.0,176.3,0,0.0,0.0,0,0,0,0.0,1245.9,25.7,0.0,0.0,302,233.07005049851097,27.875,85.0,2025-09-30 07:49:22
178.9,0,0.0,177.3,0,0.0,0.0,0,0,0,0.0,1245.9,25.8,0.0,0.0,302,233.07005049851097,27.875,85.0,2025-09-30 07:50:25
178.9,0,0.0,177.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.8,0.0,0.0,302,271.91505891492943,28.0,85.0,2025-09-30 07:51:27
180.3,0,0.0,178.1,0,0.0,0.0,0,0,0,0.0,1245.9,25.8,0.0,0.0,302,310.76006733134795,28.062,85.0,2025-09-30 07:52:29
181.5,0,0.0,178.9,0,0.0,0.0,0,0,0,0.0,1245.9,25.9,0.0,0.0,302,349.6050757477664,28.25,85.0,2025-09-30 07:53:32
182.5,0,0.0,180.5,0,0.0,0.0,0,0,0,0.0,1245.9,25.9,0.0,0.0,302,466.14010099702193,28.25,85.0,2025-09-30 07:54:34
179,0,0.0,177.7,0,0.0,0.0,0,0,0,0.0,1245.9,26,0.0,0.0,302,349.6050757477664,28.375,85.0,2025-09-30 07:55:37
178.3,0,0.0,177,0,0.0,0.0,0,0,0,0.0,1245.9,26.1,0.0,0.0,302,310.76006733134795,28.187,85.0,2025-09-30 07:56:39
178.2,0,0.0,176.7,0,0.0,0.0,0,0,0,0.0,1245.9,26.1,0.0,0.0,302,310.76006733134795,28.312,85.0,2025-09-30 07:57:42
179.1,0,0.0,177.5,0,0.0,0.0,0,0,0,0.0,1245.9,26.1,0.0,0.0,302,388.4500841641849,28.625,85.0,2025-09-30 07:58:44
178.4,0,0.0,177.6,0,0.0,0.0,0,0,0,0.0,1245.9,26.2,0.0,0.0,302,427.2950925806034,28.812,85.0,2025-09-30 07:59:47
178.7,0,0.0,176.8,0,0.0,0.0,0,0,0,0.0,1245.9,26.3,0.0,0.0,302,388.4500841641849,28.937,85.0,2025-09-30 08:00:49
178.3,0,0.0,177.6,0,0.0,0.0,0,0,0,0.0,1245.9,26.3,0.0,0.0,302,466.14010099702193,29.125,85.0,2025-09-30 08:01:51
173.7,0,0.0,173,0,0.0,0.0,0,0,0,0.0,1245.9,26.4,0.0,0.0,302,233.07005049851097,29.25,85.0,2025-09-30 08:02:54
172.3,0,0.0,171.7,0,0.0,0.0,0,0,0,0.0,1245.9,26.4,0.0,0.0,302,194.22504208209244,29.062,85.0,2025-09-30 08:03:56
172.7,0,0.0,171.9,0,0.0,0.0,0,0,0,0.0,1245.9,26.4,0.0,0.0,302,194.22504208209244,29.25,85.0,2025-09-30 08:04:59
174,0,0.0,172.9,0,0.0,0.0,0,0,0,0.0,1245.9,26.5,0.0,0.0,302,233.07005049851097,29.375,85.0,2025-09-30 08:06:01
175.5,0,0.0,173.9,0,0.0,0.0,0,0,0,0.0,1245.9,26.5,0.0,0.0,302,271.91505891492943,29.437,85.0,2025-09-30 08:07:04
180.1,0,0.0,177.1,0,0.0,0.0,0,0,0,0.0,1245.9,26.5,0.0,0.0,302,427.2950925806034,29.625,85.0,2025-09-30 08:08:06
181,0,0.0,178.9,0,0.0,0.0,0,0,0,0.0,1245.9,26.5,0.0,0.0,302,543.8301178298589,29.562,85.0,2025-09-30 08:09:09
178.9,0,0.0,178.1,0,0.0,0.0,0,0,0,0.0,1245.9,26.6,0.0,0.0,302,504.9851094134404,29.75,85.0,2025-09-30 08:10:11
175.8,0,0.0,175,0,0.0,0.0,0,0,0,0.0,1245.9,26.7,0.0,0.0,302,310.76006733134795,29.75,85.0,2025-09-30 08:11:13
174.4,0,0.0,174,0,0.0,0.0,0,0,0,0.0,1245.9,26.8,0.0,0.0,302,271.91505891492943,29.875,85.0,2025-09-30 08:12:16
175.8,0,0.0,174.7,0,0.0,0.0,0,0,0,0.0,1245.9,26.9,0.0,0.0,302,310.76006733134795,29.937,85.0,2025-09-30 08:13:18
178.3,0,0.0,176.8,0,0.0,0.0,0,0,0,0.0,1245.9,26.9,0.0,0.0,302,427.2950925806034,30.0,85.0,2025-09-30 08:14:21
180.2,0,0.0,178.4,0,0.0,0.0,0,0,0,0.0,1245.9,27,0.0,0.0,302,621.5201346626959,30.125,85.0,2025-09-30 08:15:23
179.6,0,0.0,178.2,0,0.0,0.0,0,0,0,0.0,1245.9,27.1,0.0,0.0,302,621.5201346626959,30.312,85.0,2025-09-30 08:16:26
177.5,0,0.0,175.9,0,0.0,0.0,0,0,0,0.0,1245.9,27.1,0.0,0.0,302,504.9851094134404,30.562,85.0,2025-09-30 08:17:28
175.9,0,0.0,175.2,0,0.0,0.0,0,0,0,0.0,1245.9,27.2,0.0,0.0,302,388.4500841641849,30.687,85.0,2025-09-30 08:18:31
178.9,0,0.0,177.9,0,0.0,0.0,0,0,0,0.0,1245.9,27.2,0.0,0.0,302,621.5201346626959,30.875,85.0,2025-09-30 08:19:33
178.7,0,0.0,177.9,0,0.0,0.0,0,0,0,0.0,1245.9,27.3,0.0,0.0,302,699.2101514955328,31.125,85.0,2025-09-30 08:20:35
177.7,0,0.0,177.2,0,0.0,0.0,0,0,0,0.0,1245.9,27.4,0.0,0.0,302,660.3651430791144,31.375,85.0,2025-09-30 08:21:38
176.8,0,0.0,176.6,0,0.0,0.0,0,0,0,0.0,1245.9,27.4,0.0,0.0,302,699.2101514955328,31.5,85.0,2025-09-30 08:22:40
175.5,0,0.0,175.2,0,0.0,0.0,0,0,0,0.0,1245.9,27.6,0.0,0.0,302,582.6751262462774,31.812,85.0,2025-09-30 08:23:43
174.3,0,0.0,174.9,0,0.0,0.0,0,0,0,0.0,1245.9,27.6,0.0,0.0,302,582.6751262462774,32.062,85.0,2025-09-30 08:24:45
174.1,0,0.0,174.1,0,0.0,0.0,0,0,0,0.0,1245.9,27.7,0.0,0.0,302,543.8301178298589,32.125,85.0,2025-09-30 08:25:48
174.6,0,0.0,174.5,0,0.0,0.0,0,0,0,0.0,1245.9,27.8,0.0,0.0,302,543.8301178298589,32.25,85.0,2025-09-30 08:26:50
172.7,0,0.0,172.6,0,0.0,0.0,0,0,0,0.0,1245.9,27.9,0.0,0.0,302,466.14010099702193,32.125,85.0,2025-09-30 08:27:53
172.7,0,0.0,172.8,0,0.0,0.0,0,0,0,0.0,1245.9,28,0.0,0.0,302,466.14010099702193,32.187,85.0,2025-09-30 08:28:55
